input,target
rotation 2-18-77 ,rotation: [ 2-18-77 ] 
rotation 4-6-688 ,rotation: [ 4-6-688 ] 
rotation 7-74-884 ,rotation: [ 7-74-884 ] 
rotation 349-6-3 to 28-6-1 ,rotation: [ 349-6-3 ] -- [28-6-1 ] 
rotation 94-660-640 ,rotation: [ 94-660-640 ] 
rotation 796-505-514 ,rotation: [ 796-505-514 ] 
rotation 058-7-268 ,rotation: [ 058-7-268 ] 
rotation 955-3-19 to 5-11-90 ,rotation: [ 955-3-19 ] -- [5-11-90 ] 
rotation 7-54-83 to 199-228-640 ,rotation: [ 7-54-83 ] -- [199-228-640 ] 
rotation 265-5-344 to 162-0-5 ,rotation: [ 265-5-344 ] -- [162-0-5 ] 
rotation 2-09-6 ,rotation: [ 2-09-6 ] 
rotation 729-27-9 ,rotation: [ 729-27-9 ] 
rotation 20-10-7 to 2-90-12 ,rotation: [ 20-10-7 ] -- [2-90-12 ] 
rotation 3-75-1 to 0-566-5 ,rotation: [ 3-75-1 ] -- [0-566-5 ] 
rotation 29-23-753 to 584-654-317 ,rotation: [ 29-23-753 ] -- [584-654-317 ] 
rotation 09-437-09 ,rotation: [ 09-437-09 ] 
rotation 129-553-623 to 4-36-0 ,rotation: [ 129-553-623 ] -- [4-36-0 ] 
rotation 8-4-75 to 6-73-9 ,rotation: [ 8-4-75 ] -- [6-73-9 ] 
rotation 8-18-93 to 618-95-3 ,rotation: [ 8-18-93 ] -- [618-95-3 ] 
rotation 11-12-543 to 871-6-533 ,rotation: [ 11-12-543 ] -- [871-6-533 ] 
rotation 6-1-576 ,rotation: [ 6-1-576 ] 
rotation 73-57-791 to 06-013-2 ,rotation: [ 73-57-791 ] -- [06-013-2 ] 
rotation 84-154-639 ,rotation: [ 84-154-639 ] 
rotation 21-732-6 to 26-8-986 ,rotation: [ 21-732-6 ] -- [26-8-986 ] 
rotation 8-81-99 to 3-2-03 ,rotation: [ 8-81-99 ] -- [3-2-03 ] 
rotation 31-7-712 ,rotation: [ 31-7-712 ] 
rotation 7-56-83 ,rotation: [ 7-56-83 ] 
rotation 7-63-49 to 8-747-465 ,rotation: [ 7-63-49 ] -- [8-747-465 ] 
rotation 1-91-59 ,rotation: [ 1-91-59 ] 
rotation 8-4-8 to 10-979-819 ,rotation: [ 8-4-8 ] -- [10-979-819 ] 
rotation 7-5-70 ,rotation: [ 7-5-70 ] 
rotation 1-379-2 to 3-812-317 ,rotation: [ 1-379-2 ] -- [3-812-317 ] 
rotation 345-981-631 ,rotation: [ 345-981-631 ] 
rotation 7-7-85 to 25-85-4 ,rotation: [ 7-7-85 ] -- [25-85-4 ] 
rotation 443-0-80 ,rotation: [ 443-0-80 ] 
rotation 59-3-857 to 637-687-67 ,rotation: [ 59-3-857 ] -- [637-687-67 ] 
rotation 2-9-184 to 5-5-866 ,rotation: [ 2-9-184 ] -- [5-5-866 ] 
rotation 66-3-144 to 0-14-561 ,rotation: [ 66-3-144 ] -- [0-14-561 ] 
rotation 03-075-61 ,rotation: [ 03-075-61 ] 
rotation 573-35-75 to 813-176-9 ,rotation: [ 573-35-75 ] -- [813-176-9 ] 
rotation 71-1-2 to 4-55-5 ,rotation: [ 71-1-2 ] -- [4-55-5 ] 
rotation 339-30-48 to 908-47-606 ,rotation: [ 339-30-48 ] -- [908-47-606 ] 
rotation 037-7-16 ,rotation: [ 037-7-16 ] 
rotation 92-501-3 to 8-130-252 ,rotation: [ 92-501-3 ] -- [8-130-252 ] 
rotation 69-5-6 to 1-42-6 ,rotation: [ 69-5-6 ] -- [1-42-6 ] 
rotation 9-5-274 ,rotation: [ 9-5-274 ] 
rotation 1-847-302 to 057-47-9 ,rotation: [ 1-847-302 ] -- [057-47-9 ] 
rotation 0-084-900 ,rotation: [ 0-084-900 ] 
rotation 6-66-173 to 80-8-281 ,rotation: [ 6-66-173 ] -- [80-8-281 ] 
rotation 16-0-2 ,rotation: [ 16-0-2 ] 
rotation 751-3-995 ,rotation: [ 751-3-995 ] 
rotation 388-76-57 ,rotation: [ 388-76-57 ] 
rotation 82-548-488 ,rotation: [ 82-548-488 ] 
rotation 49-4-470 ,rotation: [ 49-4-470 ] 
rotation 892-4-326 ,rotation: [ 892-4-326 ] 
rotation 52-982-958 to 333-318-093 ,rotation: [ 52-982-958 ] -- [333-318-093 ] 
rotation 61-982-12 to 9-5-275 ,rotation: [ 61-982-12 ] -- [9-5-275 ] 
rotation 56-691-88 to 6-5-8 ,rotation: [ 56-691-88 ] -- [6-5-8 ] 
rotation 85-4-89 to 7-6-5 ,rotation: [ 85-4-89 ] -- [7-6-5 ] 
rotation 48-4-2 to 88-714-203 ,rotation: [ 48-4-2 ] -- [88-714-203 ] 
rotation 3-8-82 ,rotation: [ 3-8-82 ] 
rotation 81-49-7 ,rotation: [ 81-49-7 ] 
rotation 98-07-54 to 849-0-319 ,rotation: [ 98-07-54 ] -- [849-0-319 ] 
rotation 45-81-406 to 74-677-46 ,rotation: [ 45-81-406 ] -- [74-677-46 ] 
rotation 747-19-595 ,rotation: [ 747-19-595 ] 
rotation 98-5-585 to 750-7-142 ,rotation: [ 98-5-585 ] -- [750-7-142 ] 
rotation 32-104-3 ,rotation: [ 32-104-3 ] 
rotation 79-8-15 to 8-6-109 ,rotation: [ 79-8-15 ] -- [8-6-109 ] 
rotation 661-9-839 to 3-2-93 ,rotation: [ 661-9-839 ] -- [3-2-93 ] 
rotation 95-6-9 ,rotation: [ 95-6-9 ] 
rotation 08-5-665 ,rotation: [ 08-5-665 ] 
rotation 4-06-3 ,rotation: [ 4-06-3 ] 
rotation 53-01-1 ,rotation: [ 53-01-1 ] 
rotation 8-88-574 to 7-1-094 ,rotation: [ 8-88-574 ] -- [7-1-094 ] 
rotation 783-22-7 ,rotation: [ 783-22-7 ] 
rotation 10-945-41 to 937-9-07 ,rotation: [ 10-945-41 ] -- [937-9-07 ] 
rotation 55-59-8 ,rotation: [ 55-59-8 ] 
rotation 846-2-0 to 12-527-55 ,rotation: [ 846-2-0 ] -- [12-527-55 ] 
rotation 5-312-9 ,rotation: [ 5-312-9 ] 
rotation 2-26-552 to 270-05-8 ,rotation: [ 2-26-552 ] -- [270-05-8 ] 
rotation 06-009-495 ,rotation: [ 06-009-495 ] 
rotation 645-2-68 ,rotation: [ 645-2-68 ] 
rotation 99-4-314 to 63-50-4 ,rotation: [ 99-4-314 ] -- [63-50-4 ] 
rotation 945-134-6 ,rotation: [ 945-134-6 ] 
rotation 812-232-828 ,rotation: [ 812-232-828 ] 
rotation 82-4-7 to 226-8-14 ,rotation: [ 82-4-7 ] -- [226-8-14 ] 
rotation 8-3-52 ,rotation: [ 8-3-52 ] 
rotation 8-0-130 ,rotation: [ 8-0-130 ] 
rotation 41-685-08 to 7-436-946 ,rotation: [ 41-685-08 ] -- [7-436-946 ] 
rotation 4-4-9 ,rotation: [ 4-4-9 ] 
rotation 74-6-231 to 49-40-529 ,rotation: [ 74-6-231 ] -- [49-40-529 ] 
rotation 463-23-00 ,rotation: [ 463-23-00 ] 
rotation 59-58-984 to 6-564-623 ,rotation: [ 59-58-984 ] -- [6-564-623 ] 
rotation 986-592-6 ,rotation: [ 986-592-6 ] 
rotation 3-29-070 ,rotation: [ 3-29-070 ] 
rotation 7-958-90 to 01-6-00 ,rotation: [ 7-958-90 ] -- [01-6-00 ] 
rotation 094-342-0 to 62-683-809 ,rotation: [ 094-342-0 ] -- [62-683-809 ] 
rotation 28-521-34 to 601-504-314 ,rotation: [ 28-521-34 ] -- [601-504-314 ] 
rotation 51-42-1 to 283-12-6 ,rotation: [ 51-42-1 ] -- [283-12-6 ] 
rotation 92-267-238 to 95-40-412 ,rotation: [ 92-267-238 ] -- [95-40-412 ] 
rotation 1-01-375 to 7-86-2 ,rotation: [ 1-01-375 ] -- [7-86-2 ] 
rotation 223-9-53 to 969-7-465 ,rotation: [ 223-9-53 ] -- [969-7-465 ] 
rotation 8-67-114 to 9-3-13 ,rotation: [ 8-67-114 ] -- [9-3-13 ] 
rotation 01-43-86 to 2-1-0 ,rotation: [ 01-43-86 ] -- [2-1-0 ] 
rotation 10-149-6 ,rotation: [ 10-149-6 ] 
rotation 7-7-99 ,rotation: [ 7-7-99 ] 
rotation 63-755-834 to 7-31-160 ,rotation: [ 63-755-834 ] -- [7-31-160 ] 
rotation 513-68-3 ,rotation: [ 513-68-3 ] 
rotation 082-417-501 ,rotation: [ 082-417-501 ] 
rotation 974-870-457 ,rotation: [ 974-870-457 ] 
rotation 3-86-39 to 91-5-36 ,rotation: [ 3-86-39 ] -- [91-5-36 ] 
rotation 85-87-31 to 370-7-695 ,rotation: [ 85-87-31 ] -- [370-7-695 ] 
rotation 342-691-22 to 9-129-875 ,rotation: [ 342-691-22 ] -- [9-129-875 ] 
rotation 63-0-209 ,rotation: [ 63-0-209 ] 
rotation 01-26-36 ,rotation: [ 01-26-36 ] 
rotation 7-042-83 ,rotation: [ 7-042-83 ] 
rotation 37-91-1 ,rotation: [ 37-91-1 ] 
rotation 5-8-59 to 0-3-358 ,rotation: [ 5-8-59 ] -- [0-3-358 ] 
rotation 94-7-649 ,rotation: [ 94-7-649 ] 
rotation 676-936-416 to 035-4-969 ,rotation: [ 676-936-416 ] -- [035-4-969 ] 
rotation 32-73-63 to 466-76-1 ,rotation: [ 32-73-63 ] -- [466-76-1 ] 
rotation 197-717-0 to 00-68-323 ,rotation: [ 197-717-0 ] -- [00-68-323 ] 
rotation 969-73-4 to 1-5-653 ,rotation: [ 969-73-4 ] -- [1-5-653 ] 
rotation 59-80-082 to 72-37-009 ,rotation: [ 59-80-082 ] -- [72-37-009 ] 
rotation 1-4-727 to 1-598-995 ,rotation: [ 1-4-727 ] -- [1-598-995 ] 
rotation 262-5-0 ,rotation: [ 262-5-0 ] 
rotation 437-1-6 to 3-859-82 ,rotation: [ 437-1-6 ] -- [3-859-82 ] 
rotation 1-20-2 ,rotation: [ 1-20-2 ] 
rotation 446-962-0 ,rotation: [ 446-962-0 ] 
rotation 4-9-4 ,rotation: [ 4-9-4 ] 
rotation 657-76-620 ,rotation: [ 657-76-620 ] 
rotation 697-53-46 to 91-0-96 ,rotation: [ 697-53-46 ] -- [91-0-96 ] 
rotation 75-452-8 ,rotation: [ 75-452-8 ] 
rotation 9-3-800 to 0-24-005 ,rotation: [ 9-3-800 ] -- [0-24-005 ] 
rotation 4-83-828 to 8-123-2 ,rotation: [ 4-83-828 ] -- [8-123-2 ] 
rotation 2-290-2 ,rotation: [ 2-290-2 ] 
rotation 17-0-42 ,rotation: [ 17-0-42 ] 
rotation 21-270-845 ,rotation: [ 21-270-845 ] 
rotation 33-922-274 to 56-154-045 ,rotation: [ 33-922-274 ] -- [56-154-045 ] 
rotation 4-3-07 ,rotation: [ 4-3-07 ] 
rotation 322-93-48 to 920-6-8 ,rotation: [ 322-93-48 ] -- [920-6-8 ] 
rotation 491-07-6 ,rotation: [ 491-07-6 ] 
rotation 35-6-602 ,rotation: [ 35-6-602 ] 
rotation 6-5-9 to 49-849-5 ,rotation: [ 6-5-9 ] -- [49-849-5 ] 
rotation 74-52-346 ,rotation: [ 74-52-346 ] 
rotation 423-219-5 to 4-308-7 ,rotation: [ 423-219-5 ] -- [4-308-7 ] 
rotation 9-28-1 ,rotation: [ 9-28-1 ] 
rotation 7-9-352 ,rotation: [ 7-9-352 ] 
rotation 97-98-4 to 14-269-0 ,rotation: [ 97-98-4 ] -- [14-269-0 ] 
rotation 4-2-41 to 60-177-164 ,rotation: [ 4-2-41 ] -- [60-177-164 ] 
rotation 905-967-75 ,rotation: [ 905-967-75 ] 
rotation 87-4-09 ,rotation: [ 87-4-09 ] 
rotation 85-514-03 to 38-4-889 ,rotation: [ 85-514-03 ] -- [38-4-889 ] 
rotation 7-180-270 to 3-9-9 ,rotation: [ 7-180-270 ] -- [3-9-9 ] 
rotation 793-177-536 ,rotation: [ 793-177-536 ] 
rotation 837-2-12 to 92-15-3 ,rotation: [ 837-2-12 ] -- [92-15-3 ] 
rotation 395-806-9 to 85-111-22 ,rotation: [ 395-806-9 ] -- [85-111-22 ] 
rotation 8-562-554 to 894-80-2 ,rotation: [ 8-562-554 ] -- [894-80-2 ] 
rotation 6-7-109 ,rotation: [ 6-7-109 ] 
rotation 97-7-875 ,rotation: [ 97-7-875 ] 
rotation 7-762-60 ,rotation: [ 7-762-60 ] 
rotation 74-84-2 to 59-096-548 ,rotation: [ 74-84-2 ] -- [59-096-548 ] 
rotation 423-79-743 ,rotation: [ 423-79-743 ] 
rotation 8-17-4 to 525-0-523 ,rotation: [ 8-17-4 ] -- [525-0-523 ] 
rotation 004-70-9 ,rotation: [ 004-70-9 ] 
rotation 21-5-418 to 9-59-451 ,rotation: [ 21-5-418 ] -- [9-59-451 ] 
rotation 3-3-960 to 90-6-980 ,rotation: [ 3-3-960 ] -- [90-6-980 ] 
rotation 771-064-27 ,rotation: [ 771-064-27 ] 
rotation 0-912-83 ,rotation: [ 0-912-83 ] 
rotation 351-98-48 ,rotation: [ 351-98-48 ] 
rotation 0-376-08 to 84-056-0 ,rotation: [ 0-376-08 ] -- [84-056-0 ] 
rotation 66-87-222 ,rotation: [ 66-87-222 ] 
rotation 31-822-63 to 744-749-39 ,rotation: [ 31-822-63 ] -- [744-749-39 ] 
rotation 16-13-9 ,rotation: [ 16-13-9 ] 
rotation 1-0-989 to 917-7-944 ,rotation: [ 1-0-989 ] -- [917-7-944 ] 
rotation 9-12-7 ,rotation: [ 9-12-7 ] 
rotation 25-3-795 to 9-869-863 ,rotation: [ 25-3-795 ] -- [9-869-863 ] 
rotation 505-34-2 ,rotation: [ 505-34-2 ] 
rotation 552-3-38 to 3-13-477 ,rotation: [ 552-3-38 ] -- [3-13-477 ] 
rotation 857-35-39 to 367-393-43 ,rotation: [ 857-35-39 ] -- [367-393-43 ] 
rotation 9-332-431 to 0-97-90 ,rotation: [ 9-332-431 ] -- [0-97-90 ] 
rotation 61-26-2 ,rotation: [ 61-26-2 ] 
rotation 3-976-4 to 3-607-92 ,rotation: [ 3-976-4 ] -- [3-607-92 ] 
rotation 831-69-51 to 228-71-674 ,rotation: [ 831-69-51 ] -- [228-71-674 ] 
rotation 944-7-10 to 191-49-40 ,rotation: [ 944-7-10 ] -- [191-49-40 ] 
rotation 595-503-8 to 167-098-78 ,rotation: [ 595-503-8 ] -- [167-098-78 ] 
rotation 6-63-6 to 920-0-446 ,rotation: [ 6-63-6 ] -- [920-0-446 ] 
rotation 0-0-454 to 2-495-8 ,rotation: [ 0-0-454 ] -- [2-495-8 ] 
rotation 01-855-986 to 373-334-72 ,rotation: [ 01-855-986 ] -- [373-334-72 ] 
rotation 00-40-9 ,rotation: [ 00-40-9 ] 
rotation 886-7-89 ,rotation: [ 886-7-89 ] 
rotation 242-49-7 ,rotation: [ 242-49-7 ] 
rotation 47-054-83 ,rotation: [ 47-054-83 ] 
rotation 1-045-2 to 82-94-039 ,rotation: [ 1-045-2 ] -- [82-94-039 ] 
rotation 255-467-063 ,rotation: [ 255-467-063 ] 
rotation 6-386-39 ,rotation: [ 6-386-39 ] 
rotation 1-2-084 to 980-7-4 ,rotation: [ 1-2-084 ] -- [980-7-4 ] 
rotation 82-50-50 to 66-3-315 ,rotation: [ 82-50-50 ] -- [66-3-315 ] 
rotation 786-1-86 ,rotation: [ 786-1-86 ] 
rotation 992-210-99 ,rotation: [ 992-210-99 ] 
rotation 562-1-6 to 04-09-635 ,rotation: [ 562-1-6 ] -- [04-09-635 ] 
rotation 601-7-75 to 09-83-103 ,rotation: [ 601-7-75 ] -- [09-83-103 ] 
rotation 395-9-7 ,rotation: [ 395-9-7 ] 
rotation 887-5-88 to 081-8-74 ,rotation: [ 887-5-88 ] -- [081-8-74 ] 
rotation 9-65-6 ,rotation: [ 9-65-6 ] 
rotation 499-724-12 to 11-346-16 ,rotation: [ 499-724-12 ] -- [11-346-16 ] 
rotation 727-438-31 to 01-5-1 ,rotation: [ 727-438-31 ] -- [01-5-1 ] 
rotation 6-618-580 ,rotation: [ 6-618-580 ] 
rotation 9-6-8 to 93-9-6 ,rotation: [ 9-6-8 ] -- [93-9-6 ] 
rotation 140-6-72 to 866-434-93 ,rotation: [ 140-6-72 ] -- [866-434-93 ] 
rotation 666-722-435 ,rotation: [ 666-722-435 ] 
rotation 3-22-201 ,rotation: [ 3-22-201 ] 
rotation 14-32-92 to 518-316-9 ,rotation: [ 14-32-92 ] -- [518-316-9 ] 
rotation 3-59-70 ,rotation: [ 3-59-70 ] 
rotation 7-0-499 to 35-841-92 ,rotation: [ 7-0-499 ] -- [35-841-92 ] 
rotation 048-400-44 ,rotation: [ 048-400-44 ] 
rotation 11-9-526 to 32-740-70 ,rotation: [ 11-9-526 ] -- [32-740-70 ] 
rotation 41-80-227 ,rotation: [ 41-80-227 ] 
rotation 1-482-0 to 48-6-9 ,rotation: [ 1-482-0 ] -- [48-6-9 ] 
rotation 05-19-58 ,rotation: [ 05-19-58 ] 
rotation 4-833-4 ,rotation: [ 4-833-4 ] 
rotation 5-86-41 ,rotation: [ 5-86-41 ] 
rotation 576-68-145 to 910-6-63 ,rotation: [ 576-68-145 ] -- [910-6-63 ] 
rotation 3-2-84 ,rotation: [ 3-2-84 ] 
rotation 191-4-2 to 133-6-9 ,rotation: [ 191-4-2 ] -- [133-6-9 ] 
rotation 5-699-30 to 7-26-692 ,rotation: [ 5-699-30 ] -- [7-26-692 ] 
rotation 8-0-24 ,rotation: [ 8-0-24 ] 
rotation 20-54-123 ,rotation: [ 20-54-123 ] 
rotation 42-28-462 ,rotation: [ 42-28-462 ] 
rotation 761-0-75 ,rotation: [ 761-0-75 ] 
rotation 59-15-7 to 721-49-1 ,rotation: [ 59-15-7 ] -- [721-49-1 ] 
rotation 35-7-07 to 75-558-2 ,rotation: [ 35-7-07 ] -- [75-558-2 ] 
rotation 419-5-727 ,rotation: [ 419-5-727 ] 
rotation 0-1-023 to 45-766-353 ,rotation: [ 0-1-023 ] -- [45-766-353 ] 
rotation 2-8-1 to 57-261-6 ,rotation: [ 2-8-1 ] -- [57-261-6 ] 
rotation 925-908-0 ,rotation: [ 925-908-0 ] 
rotation 290-593-336 ,rotation: [ 290-593-336 ] 
rotation 5-818-44 ,rotation: [ 5-818-44 ] 
rotation 74-42-429 ,rotation: [ 74-42-429 ] 
rotation 4-90-21 to 364-9-0 ,rotation: [ 4-90-21 ] -- [364-9-0 ] 
rotation 1-6-13 to 7-865-183 ,rotation: [ 1-6-13 ] -- [7-865-183 ] 
rotation 249-2-592 to 7-77-09 ,rotation: [ 249-2-592 ] -- [7-77-09 ] 
rotation 5-38-89 to 8-840-57 ,rotation: [ 5-38-89 ] -- [8-840-57 ] 
rotation 42-7-441 to 5-7-2 ,rotation: [ 42-7-441 ] -- [5-7-2 ] 
rotation 5-3-392 ,rotation: [ 5-3-392 ] 
rotation 3-1-183 to 5-81-3 ,rotation: [ 3-1-183 ] -- [5-81-3 ] 
rotation 360-10-1 ,rotation: [ 360-10-1 ] 
rotation 3-59-7 to 2-2-35 ,rotation: [ 3-59-7 ] -- [2-2-35 ] 
rotation 91-261-399 to 49-971-1 ,rotation: [ 91-261-399 ] -- [49-971-1 ] 
rotation 068-265-4 ,rotation: [ 068-265-4 ] 
rotation 908-759-8 ,rotation: [ 908-759-8 ] 
rotation 40-83-8 ,rotation: [ 40-83-8 ] 
rotation 72-6-8 ,rotation: [ 72-6-8 ] 
rotation 0-341-16 ,rotation: [ 0-341-16 ] 
rotation 9-8-63 to 8-96-18 ,rotation: [ 9-8-63 ] -- [8-96-18 ] 
rotation 8-57-6 ,rotation: [ 8-57-6 ] 
rotation 98-9-16 to 731-398-035 ,rotation: [ 98-9-16 ] -- [731-398-035 ] 
rotation 165-398-508 to 4-955-6 ,rotation: [ 165-398-508 ] -- [4-955-6 ] 
rotation 2-98-58 to 09-0-367 ,rotation: [ 2-98-58 ] -- [09-0-367 ] 
rotation 16-41-9 ,rotation: [ 16-41-9 ] 
rotation 876-9-17 to 98-68-20 ,rotation: [ 876-9-17 ] -- [98-68-20 ] 
rotation 9-878-91 to 42-82-61 ,rotation: [ 9-878-91 ] -- [42-82-61 ] 
rotation 288-70-4 ,rotation: [ 288-70-4 ] 
rotation 74-947-0 to 753-00-076 ,rotation: [ 74-947-0 ] -- [753-00-076 ] 
rotation 791-41-853 to 932-608-71 ,rotation: [ 791-41-853 ] -- [932-608-71 ] 
rotation 45-08-0 to 5-18-327 ,rotation: [ 45-08-0 ] -- [5-18-327 ] 
rotation 40-991-752 ,rotation: [ 40-991-752 ] 
rotation 913-288-098 ,rotation: [ 913-288-098 ] 
rotation 0-126-9 ,rotation: [ 0-126-9 ] 
rotation 21-238-537 to 777-0-8 ,rotation: [ 21-238-537 ] -- [777-0-8 ] 
rotation 273-4-35 to 2-92-151 ,rotation: [ 273-4-35 ] -- [2-92-151 ] 
rotation 76-8-39 to 9-907-509 ,rotation: [ 76-8-39 ] -- [9-907-509 ] 
rotation 20-995-0 to 8-9-654 ,rotation: [ 20-995-0 ] -- [8-9-654 ] 
rotation 76-343-8 ,rotation: [ 76-343-8 ] 
rotation 1-294-063 ,rotation: [ 1-294-063 ] 
rotation 01-029-1 ,rotation: [ 01-029-1 ] 
rotation 659-725-325 ,rotation: [ 659-725-325 ] 
rotation 912-158-82 to 464-3-156 ,rotation: [ 912-158-82 ] -- [464-3-156 ] 
rotation 793-63-54 to 7-1-5 ,rotation: [ 793-63-54 ] -- [7-1-5 ] 
rotation 585-8-657 to 5-06-199 ,rotation: [ 585-8-657 ] -- [5-06-199 ] 
rotation 59-80-8 to 107-474-989 ,rotation: [ 59-80-8 ] -- [107-474-989 ] 
rotation 20-5-3 ,rotation: [ 20-5-3 ] 
rotation 4-60-9 to 866-541-287 ,rotation: [ 4-60-9 ] -- [866-541-287 ] 
rotation 889-36-2 ,rotation: [ 889-36-2 ] 
rotation 1-4-02 ,rotation: [ 1-4-02 ] 
rotation 97-574-046 to 857-179-0 ,rotation: [ 97-574-046 ] -- [857-179-0 ] 
rotation 24-4-05 ,rotation: [ 24-4-05 ] 
rotation 32-07-0 to 7-3-47 ,rotation: [ 32-07-0 ] -- [7-3-47 ] 
rotation 723-89-89 ,rotation: [ 723-89-89 ] 
rotation 827-037-6 ,rotation: [ 827-037-6 ] 
rotation 30-3-23 to 145-8-9 ,rotation: [ 30-3-23 ] -- [145-8-9 ] 
rotation 03-004-091 ,rotation: [ 03-004-091 ] 
rotation 8-0-65 to 77-725-09 ,rotation: [ 8-0-65 ] -- [77-725-09 ] 
rotation 9-009-12 ,rotation: [ 9-009-12 ] 
rotation 0-7-63 to 7-5-66 ,rotation: [ 0-7-63 ] -- [7-5-66 ] 
rotation 390-49-00 to 547-9-0 ,rotation: [ 390-49-00 ] -- [547-9-0 ] 
rotation 453-64-818 to 199-95-2 ,rotation: [ 453-64-818 ] -- [199-95-2 ] 
rotation 888-566-964 to 808-16-36 ,rotation: [ 888-566-964 ] -- [808-16-36 ] 
rotation 231-594-689 ,rotation: [ 231-594-689 ] 
rotation 5-3-378 ,rotation: [ 5-3-378 ] 
rotation 80-1-9 ,rotation: [ 80-1-9 ] 
rotation 2-19-1 ,rotation: [ 2-19-1 ] 
rotation 854-9-23 to 1-190-78 ,rotation: [ 854-9-23 ] -- [1-190-78 ] 
rotation 357-6-6 to 6-7-315 ,rotation: [ 357-6-6 ] -- [6-7-315 ] 
rotation 83-1-021 ,rotation: [ 83-1-021 ] 
rotation 16-106-06 to 94-64-6 ,rotation: [ 16-106-06 ] -- [94-64-6 ] 
rotation 4-858-177 to 952-34-9 ,rotation: [ 4-858-177 ] -- [952-34-9 ] 
rotation 71-0-4 ,rotation: [ 71-0-4 ] 
rotation 66-768-257 to 51-753-642 ,rotation: [ 66-768-257 ] -- [51-753-642 ] 
rotation 2-262-355 ,rotation: [ 2-262-355 ] 
rotation 407-438-68 ,rotation: [ 407-438-68 ] 
rotation 06-72-66 to 33-2-785 ,rotation: [ 06-72-66 ] -- [33-2-785 ] 
rotation 68-7-95 to 525-797-200 ,rotation: [ 68-7-95 ] -- [525-797-200 ] 
rotation 5-5-4 ,rotation: [ 5-5-4 ] 
rotation 95-03-2 to 1-132-6 ,rotation: [ 95-03-2 ] -- [1-132-6 ] 
rotation 0-6-03 ,rotation: [ 0-6-03 ] 
rotation 15-12-2 ,rotation: [ 15-12-2 ] 
rotation 249-6-91 ,rotation: [ 249-6-91 ] 
rotation 8-2-3 ,rotation: [ 8-2-3 ] 
rotation 4-467-086 ,rotation: [ 4-467-086 ] 
rotation 76-40-58 ,rotation: [ 76-40-58 ] 
rotation 04-184-61 to 752-04-649 ,rotation: [ 04-184-61 ] -- [752-04-649 ] 
rotation 23-33-942 ,rotation: [ 23-33-942 ] 
rotation 3-65-9 ,rotation: [ 3-65-9 ] 
rotation 753-0-09 ,rotation: [ 753-0-09 ] 
rotation 00-7-592 to 6-6-251 ,rotation: [ 00-7-592 ] -- [6-6-251 ] 
rotation 7-90-62 ,rotation: [ 7-90-62 ] 
rotation 5-763-13 to 396-069-687 ,rotation: [ 5-763-13 ] -- [396-069-687 ] 
rotation 1-2-92 to 3-164-7 ,rotation: [ 1-2-92 ] -- [3-164-7 ] 
rotation 38-529-37 ,rotation: [ 38-529-37 ] 
rotation 0-28-2 ,rotation: [ 0-28-2 ] 
rotation 1-097-40 ,rotation: [ 1-097-40 ] 
rotation 67-22-5 ,rotation: [ 67-22-5 ] 
rotation 67-765-98 to 42-67-47 ,rotation: [ 67-765-98 ] -- [42-67-47 ] 
rotation 45-8-59 ,rotation: [ 45-8-59 ] 
rotation 931-435-7 to 9-010-4 ,rotation: [ 931-435-7 ] -- [9-010-4 ] 
rotation 4-098-9 ,rotation: [ 4-098-9 ] 
rotation 87-551-59 ,rotation: [ 87-551-59 ] 
rotation 43-250-8 ,rotation: [ 43-250-8 ] 
rotation 61-770-533 ,rotation: [ 61-770-533 ] 
rotation 2-371-89 ,rotation: [ 2-371-89 ] 
rotation 700-7-2 to 5-78-6 ,rotation: [ 700-7-2 ] -- [5-78-6 ] 
rotation 382-0-943 ,rotation: [ 382-0-943 ] 
rotation 0-870-0 ,rotation: [ 0-870-0 ] 
rotation 4-7-958 ,rotation: [ 4-7-958 ] 
rotation 954-6-01 to 4-35-267 ,rotation: [ 954-6-01 ] -- [4-35-267 ] 
rotation 19-57-6 ,rotation: [ 19-57-6 ] 
rotation 30-600-54 to 5-6-169 ,rotation: [ 30-600-54 ] -- [5-6-169 ] 
rotation 826-4-2 ,rotation: [ 826-4-2 ] 
rotation 79-3-257 ,rotation: [ 79-3-257 ] 
rotation 1-1-956 ,rotation: [ 1-1-956 ] 
rotation 2-399-76 to 383-78-10 ,rotation: [ 2-399-76 ] -- [383-78-10 ] 
rotation 11-936-504 to 65-26-2 ,rotation: [ 11-936-504 ] -- [65-26-2 ] 
rotation 65-3-996 ,rotation: [ 65-3-996 ] 
rotation 4-3-5 ,rotation: [ 4-3-5 ] 
rotation 3-21-01 ,rotation: [ 3-21-01 ] 
rotation 128-1-5 to 47-610-34 ,rotation: [ 128-1-5 ] -- [47-610-34 ] 
rotation 1-03-38 ,rotation: [ 1-03-38 ] 
rotation 4-7-8 to 2-06-150 ,rotation: [ 4-7-8 ] -- [2-06-150 ] 
rotation 68-9-42 to 021-31-130 ,rotation: [ 68-9-42 ] -- [021-31-130 ] 
rotation 7-4-1 ,rotation: [ 7-4-1 ] 
rotation 356-2-15 to 56-76-10 ,rotation: [ 356-2-15 ] -- [56-76-10 ] 
rotation 044-98-5 ,rotation: [ 044-98-5 ] 
rotation 36-8-39 to 87-54-57 ,rotation: [ 36-8-39 ] -- [87-54-57 ] 
